delta_teacher,reward_misspec,t,k,error,optimal_k,post_optimum_degradation_pct,finite_optimum
0.2,1.0,5.0,2,0.9766644678304723,256,0.0,False
0.2,1.0,5.0,4,0.9581872917528508,256,0.0,False
0.2,1.0,5.0,8,0.9508425849019289,256,0.0,False
0.2,1.0,5.0,16,0.947536570089149,256,0.0,False
0.2,1.0,5.0,32,0.9459650295726704,256,0.0,False
0.2,1.0,5.0,64,0.945198515949403,256,0.0,False
0.2,1.0,5.0,128,0.9448199429534603,256,0.0,False
0.2,1.0,5.0,256,0.9446318116083012,256,0.0,False
0.2,1.0,8.0,1,1.0400000000000025,256,0.0,False
0.2,1.0,8.0,2,0.9987468424252637,256,0.0,False
0.2,1.0,8.0,4,0.9842428611162451,256,0.0,False
0.2,1.0,8.0,8,0.9780148665164974,256,0.0,False
0.2,1.0,8.0,16,0.9751152396865526,256,0.0,False
0.2,1.0,8.0,32,0.9737147527703193,256,0.0,False
0.2,1.0,8.0,64,0.9730263553392966,256,0.0,False
0.2,1.0,8.0,128,0.9726850601279275,256,0.0,False
0.2,1.0,8.0,256,0.9725151313081938,256,0.0,False
0.2,1.0,12.0,1,1.0400000000000025,256,0.0,False
0.2,1.0,12.0,2,1.012049970991745,256,0.0,False
0.2,1.0,12.0,4,1.0010474699341325,256,0.0,False
0.2,1.0,12.0,8,0.9961029724164917,256,0.0,False
0.2,1.0,12.0,16,0.9937530831007332,256,0.0,False
0.2,1.0,12.0,32,0.9926069148171017,256,0.0,False
0.2,1.0,12.0,64,0.9920408135401497,256,0.0,False
0.2,1.0,12.0,128,0.9917594831088279,256,0.0,False
0.2,1.0,12.0,256,0.9916192448098213,256,0.0,False
0.2,1.5,1.0,1,1.0399013778126802,2,21.199453943666335,True
0.2,1.5,1.0,2,1.0074381511421964,2,21.199453943666335,True
0.2,1.5,1.0,4,1.109141114855192,2,21.199453943666335,True
0.2,1.5,1.0,8,1.1701058465405654,2,21.199453943666335,True
0.2,1.5,1.0,16,1.1975670969983334,2,21.199453943666335,True
0.2,1.5,1.0,32,1.2103302405514134,2,21.199453943666335,True
0.2,1.5,1.0,64,1.2164861993534042,2,21.199453943666335,True
0.2,1.5,1.0,128,1.2195104813098379,2,21.199453943666335,True
0.2,1.5,1.0,256,1.2210095380045098,2,21.199453943666335,True
0.2,1.5,2.0,1,1.0400000037820276,2,8.380871431834924,True
0.2,1.5,2.0,2,0.9845274076251664,2,8.380871431834924,True
0.2,1.5,2.0,4,1.020084610680136,2,8.380871431834924,True
0.2,1.5,2.0,8,1.0438475005319023,2,8.380871431834924,True
0.2,1.5,2.0,16,1.0558768740447948,2,8.380871431834924,True
0.2,1.5,2.0,32,1.0618491987324286,2,8.380871431834924,True
0.2,1.5,2.0,64,1.064819495180408,2,8.380871431834924,True
0.2,1.5,2.0,128,1.0663001964361412,2,8.380871431834924,True
0.2,1.5,2.0,256,1.067039383869409,2,8.380871431834924,True
0.2,1.5,3.0,1,1.0400000000079899,2,3.8379929436184845,True
0.2,1.5,3.0,2,0.9873245334371561,2,3.8379929436184845,True
0.2,1.5,3.0,4,1.001489967167799,2,3.8379929436184845,True
0.2,1.5,3.0,8,1.012952926710925,2,3.8379929436184845,True
0.2,1.5,3.0,16,1.019186797406771,2,3.8379929436184845,True
0.2,1.5,3.0,32,1.0223849706382286,2,3.8379929436184845,True
0.2,1.5,3.0,64,1.0240002575117324,2,3.8379929436184845,True
0.2,1.5,3.0,128,1.0248115058666043,2,3.8379929436184845,True
0.2,1.5,3.0,256,1.0252179793610883,2,3.8379929436184845,True
0.2,1.5,5.0,1,1.0400000000000031,2,0.7017412399463074,True
0.2,1.5,5.0,2,0.9997892298175575,2,0.7017412399463074,True
0.2,1.5,5.0,4,1.0001125325410343,2,0.7017412399463074,True
0.2,1.5,5.0,8,1.00294634643591,2,0.7017412399463074,True
0.2,1.5,5.0,16,1.004821298611623,2,0.7017412399463074,True
0.2,1.5,5.0,32,1.00585415541225,2,0.7017412399463074,True
0.2,1.5,5.0,64,1.0063923892655056,2,0.7017412399463074,True
0.2,1.5,5.0,128,1.0066667215626584,2,0.7017412399463074,True
0.2,1.5,5.0,256,1.0068051631557289,2,0.7017412399463074,True
0.2,1.5,8.0,1,1.0400000000000027,8,0.016266284942179077,False
0.2,1.5,8.0,2,1.0121652523591012,8,0.016266284942179077,False
